type,subtype,ident,value
layer,question,0,teal
layer,answer,1,sienna
layer,module,2,darkred
layer,topic,3,goldenrod
node,question,q_avoid_losing_work,"How can I avoid losing work?"
node,question,q_find_use_others_data,"How can I find and use other people's data?"
node,question,q_find_use_others_software,"How can I find and use other people's software?"
node,question,q_improve_productivity,"How can I be more productive?"
node,question,q_make_collaboration_easy,"How can I make it easy for people to collaborate with me?"
node,question,q_make_data_findable_usable,"How can I make it easy for people to find and use my data?"
node,question,q_make_data_usable_by_programs,"How can I make it easy for programs to use my data?"
node,question,q_make_software_findable_usable,"How can I make it easy for people to find and use my software?"
node,question,q_results_correct,"How can I tell if my results are correct?"
node,answer,a_add_human_work_to_repo,"Put everything created by people into version control."
node,answer,a_atomic_values,"Make every value atomic."
node,answer,a_automate_tasks,"Automate repetitive tasks."
node,answer,a_avoid_duplication,"Avoid duplicating functionality within modules."
node,answer,a_build_and_smoke_tests,"Provide simple re-runnable end-to-end test cases."
node,answer,a_build_tools,"Build tools."
node,answer,a_choose_primary_communication_channel,"Choose a primary communication channel."
node,answer,a_choose_visualization,"Choose an appropriate visualization."
node,answer,a_clean_up_data,"Clean up data."
node,answer,a_code_reviews,"Do code reviews."
node,answer,a_commit_checklist,"Maintain a checklist of things to do before sharing a change."
node,answer,a_consistent_project_organization,"Organize the project consistently."
node,answer,a_data_doi,"Submit data to a reputable DOI issuer."
node,answer,a_debugging,"Debug programs."
node,answer,a_defensive_programming,"Practice defensive programming."
node,answer,a_document_function,"Begin programs with explanatory comments."
node,answer,a_dont_duplicate_code,"Don't duplicate code."
node,answer,a_dont_duplicate_large_data,"Don't duplicate large data."
node,answer,a_explicit_requirements,"Make requirements/dependencies explicit."
node,answer,a_foster_welcoming_environment,"Foster a welcoming environment."
node,answer,a_get_orcid,"Get an ORCID."
node,answer,a_give_code_meaningful_names,"Give values, functions, and classes meaningful names."
node,answer,a_good_commit_comments,"Write good commit comments."
node,answer,a_have_computer_repeat_things,"Have the computer repeat things."
node,answer,a_include_readme,"Include a README file explaining project scope."
node,answer,a_isolate_dependencies,"Isolate project dependencies."
node,answer,a_keys_for_records,"Give every record a unique key."
node,answer,a_master_manuscript_online,"Keep the master copy of every manuscript on the web."
